Date;Open;High;Low;Close;Adj Close;Volume
12/07/2021;3230;3670;3200;3540;3540;59012700
13/07/2021;3500;3570;3300;3300;3300;25623600
14/07/2021;3310;3570;3260;3500;3500;39846800
15/07/2021;3550;3610;3420;3430;3430;28974400
16/07/2021;3450;3500;3390;3410;3410;7825900
17/07/2021;;;;;;
18/07/2021;;;;;;
19/07/2021;3420;3420;3180;3180;3180;18112800
20/07/2021;;;;;;
21/07/2021;3180;3180;2990;3010;3010;11253100
22/07/2021;3020;3060;3000;3010;3010;3875900
23/07/2021;3000;3100;2930;3000;3000;7484900
24/07/2021;;;;;;
25/07/2021;;;;;;
26/07/2021;3020;3060;2930;2940;2940;4331900
27/07/2021;2940;2970;2900;2900;2900;4842900
28/07/2021;2910;2980;2800;2850;2850;8484000
29/07/2021;2860;2890;2740;2740;2740;9785700
30/07/2021;2800;2800;2660;2660;2660;4632800
31/07/2021;;;;;;
01/08/2021;;;;;;
02/08/2021;2680;2740;2660;2690;2690;2631800
03/08/2021;2720;2770;2650;2670;2670;5524300
04/08/2021;2670;2690;2630;2640;2640;3234100
05/08/2021;2650;2710;2540;2550;2550;7629700
06/08/2021;2550;2580;2520;2560;2560;2763400
07/08/2021;;;;;;
08/08/2021;;;;;;
09/08/2021;2560;2570;2410;2410;2410;5835100
10/08/2021;2420;2550;2410;2480;2480;4297900
11/08/2021;;;;;;
12/08/2021;2480;2500;2420;2420;2420;2123000
13/08/2021;2430;2450;2410;2440;2440;2272200
14/08/2021;;;;;;
15/08/2021;;;;;;
16/08/2021;2430;2460;2350;2350;2350;2727900
17/08/2021;;;;;;
18/08/2021;2350;2430;2350;2370;2370;2853600
19/08/2021;2370;2420;2300;2320;2320;2740300
20/08/2021;2330;2340;2270;2300;2300;1530600
21/08/2021;;;;;;
22/08/2021;;;;;;
23/08/2021;2310;2450;2310;2430;2430;3770800
24/08/2021;2460;2470;2370;2370;2370;2177500
25/08/2021;2390;2420;2370;2400;2400;1219700
26/08/2021;2430;2460;2380;2380;2380;1675700
27/08/2021;2380;2400;2350;2360;2360;892600
28/08/2021;;;;;;
29/08/2021;;;;;;
30/08/2021;2360;2450;2360;2450;2450;1985900
31/08/2021;2510;2550;2390;2410;2410;4960100
01/09/2021;2410;2410;2370;2370;2370;1082400
02/09/2021;2370;2400;2360;2360;2360;640200
03/09/2021;2360;2390;2360;2370;2370;767100
04/09/2021;;;;;;
05/09/2021;;;;;;
06/09/2021;2370;2420;2370;2390;2390;1405900
07/09/2021;2390;2430;2390;2410;2410;1211600
08/09/2021;2420;2430;2360;2370;2370;1464400
09/09/2021;2380;2380;2300;2330;2330;1625600
10/09/2021;2330;2350;2310;2340;2340;358200
11/09/2021;;;;;;
12/09/2021;;;;;;
13/09/2021;2340;2370;2340;2350;2350;780500
14/09/2021;2360;2370;2340;2340;2340;602400
15/09/2021;2340;2350;2320;2330;2330;797500
16/09/2021;2330;2360;2330;2340;2340;620400
17/09/2021;2340;2350;2320;2320;2320;720900
18/09/2021;;;;;;
19/09/2021;;;;;;
20/09/2021;2350;2410;2300;2400;2400;2336500
21/09/2021;2400;2410;2350;2400;2400;2062400
22/09/2021;2400;2410;2360;2360;2360;1014900
23/09/2021;2360;2380;2320;2340;2340;936400
24/09/2021;2330;2350;2330;2340;2340;798000
25/09/2021;;;;;;
26/09/2021;;;;;;
27/09/2021;2340;2360;2340;2350;2350;628700
28/09/2021;2350;2370;2340;2350;2350;1426000
29/09/2021;2340;2460;2310;2420;2420;5140300
30/09/2021;2460;2540;2380;2400;2400;8460600
01/10/2021;2400;2430;2360;2360;2360;1693400
02/10/2021;;;;;;
03/10/2021;;;;;;
04/10/2021;2370;2420;2360;2400;2400;2945500
05/10/2021;2410;2480;2370;2430;2430;4495200
06/10/2021;2430;2500;2420;2470;2470;6072600
07/10/2021;2480;2660;2470;2640;2640;17293600
08/10/2021;2680;2730;2540;2570;2570;13212900
09/10/2021;;;;;;
10/10/2021;;;;;;
11/10/2021;2570;2600;2540;2560;2560;2813700
12/10/2021;2560;2590;2550;2590;2590;2882300
13/10/2021;2600;2690;2600;2680;2680;7648200
14/10/2021;2680;2710;2580;2640;2640;6257500
15/10/2021;2630;2710;2610;2610;2610;7307300
16/10/2021;;;;;;
17/10/2021;;;;;;
18/10/2021;2610;2630;2570;2570;2570;4145300
19/10/2021;2570;2600;2420;2440;2440;8333700
20/10/2021;;;;;;
21/10/2021;2500;2500;2410;2420;2420;2765600
22/10/2021;2430;2430;2380;2410;2410;1321500
23/10/2021;;;;;;
24/10/2021;;;;;;
25/10/2021;2410;2500;2410;2440;2440;1300700
26/10/2021;2450;2560;2450;2470;2470;6848500
27/10/2021;2480;2520;2460;2460;2460;2178400
28/10/2021;2460;2480;2410;2420;2420;1669800
29/10/2021;2420;2460;2410;2430;2430;952500
30/10/2021;;;;;;
31/10/2021;;;;;;
01/11/2021;2430;2450;2410;2430;2430;1193200
02/11/2021;2440;2450;2420;2430;2430;587100
03/11/2021;2440;2480;2430;2440;2440;1325100
04/11/2021;2520;2670;2490;2510;2510;22125100
05/11/2021;2540;2550;2430;2470;2470;4570400
06/11/2021;;;;;;
07/11/2021;;;;;;
08/11/2021;2470;2470;2440;2450;2450;1307800
09/11/2021;2460;2520;2450;2460;2460;3373500
10/11/2021;2460;2480;2440;2460;2460;1078400
11/11/2021;2460;2470;2440;2470;2470;1086300
12/11/2021;2470;2480;2450;2450;2450;924600
13/11/2021;;;;;;
14/11/2021;;;;;;
15/11/2021;2450;2460;2410;2430;2430;1456200
16/11/2021;2430;2440;2410;2420;2420;1093300
17/11/2021;2420;2430;2400;2410;2410;991000
18/11/2021;2410;2420;2400;2400;2400;942600
19/11/2021;2400;2430;2400;2410;2410;1062400
20/11/2021;;;;;;
21/11/2021;;;;;;
22/11/2021;2410;2450;2410;2440;2440;1001200
23/11/2021;2440;2450;2410;2420;2420;745000
24/11/2021;2430;2440;2380;2410;2410;2013600
25/11/2021;2420;2480;2410;2460;2460;3756400
26/11/2021;2440;2470;2400;2410;2410;2204800
27/11/2021;;;;;;
29/11/2021;2400;2570;2400;2570;2570;17881800
30/11/2021;2610;2810;2480;2740;2740;50483100
01/12/2021;2770;2790;2550;2550;2550;23330700
02/12/2021;2550;2650;2470;2590;2590;9007300
03/12/2021;2610;2610;2520;2550;2550;5210500
04/12/2021;;;;;;
05/12/2021;;;;;;
06/12/2021;2510;2570;2420;2440;2440;7966000
07/12/2021;2440;2470;2410;2410;2410;4778200
08/12/2021;2410;2600;2410;2550;2550;12978300
09/12/2021;2600;2650;2510;2520;2520;14680200
10/12/2021;2520;2570;2500;2530;2530;2773800
11/12/2021;;;;;;
12/12/2021;;;;;;
13/12/2021;2530;2550;2500;2510;2510;1630900
14/12/2021;2510;2550;2480;2480;2480;2761400
15/12/2021;2480;2500;2460;2480;2480;1470000
16/12/2021;2500;2720;2480;2590;2590;28076100
17/12/2021;2620;2660;2550;2560;2560;9086100
18/12/2021;;;;;;
19/12/2021;;;;;;
20/12/2021;2560;2610;2540;2560;2560;3894500
21/12/2021;2560;2600;2520;2530;2530;2729500
22/12/2021;2530;2550;2490;2520;2520;2940500
23/12/2021;2520;2540;2430;2450;2450;3394600
24/12/2021;2450;2460;2420;2430;2430;1317000
25/12/2021;;;;;;
26/12/2021;;;;;;
27/12/2021;2430;2470;2410;2420;2420;1764000
28/12/2021;2430;2480;2420;2450;2450;1632000
29/12/2021;2460;2480;2440;2440;2440;1193000
30/12/2021;2440;2460;2420;2430;2430;973800
31/12/2021;;;;;;
01/01/2022;;;;;;
02/01/2022;;;;;;
03/01/2022;2430;2500;2420;2490;2490;2029000
04/01/2022;2490;2520;2450;2470;2470;947800
05/01/2022;2480;2490;2450;2450;2450;943500
06/01/2022;2460;2560;2450;2480;2480;4883300
07/01/2022;2480;2500;2430;2440;2440;2872200
08/01/2022;;;;;;
09/01/2022;;;;;;
10/01/2022;2450;2620;2440;2590;2590;10207500
11/01/2022;2590;2630;2410;2420;2420;10175400
12/01/2022;2420;2450;2330;2350;2350;4179200
13/01/2022;2380;2390;2300;2350;2350;2036400
14/01/2022;2360;2370;2310;2320;2320;2185500
15/01/2022;;;;;;
16/01/2022;;;;;;
17/01/2022;2360;2370;2320;2320;2320;1520800
18/01/2022;2330;2340;2160;2160;2160;7976500
19/01/2022;2170;2180;2070;2080;2080;3704700
